0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,Total,,Total,,Total,,Total,,"Deaths
18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Deaths,,Deaths,,Deaths,,Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Accidents,,Accidents,,Accidents,,Accidents,,"Two Wheelers 
7,Gujarat,"3,139","1,671",369,227,3,0,"3,511","1,898",0,0,0,0,0,0,"19
0",0,"23
0",0,4,7,0,0,0,0,0,"15
2",0,"34
0",0,"41
0",0,0,1,0,0,0,0,"146
0"
8,Haryana,"1,481","1,019","1,039",450,922,432,"3,442","1,901","Deaths
14",,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,
9,Himachal Pradesh,"1,396",487,NR,NR,NR,NR,"1,396",487,"National Highways 
under Other 
department",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0
10,Jammu & Kashmir,"2,081",384,0,0,0,0,"2,081",384,"Total 
Accidents 
13",,,,,,17,NR,21,,31,14,,,,,,12,,93,,93,,,,,,,,290
11,Jharkhand,694,481,687,486,693,587,"2,074","1,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Karnataka,"10,784","3,152","2,348",641,231,49,"13,363","3,842",9,0,11,46,22,1,"1
3","NR
0","63
1",33,6,5,3,0,0,0,12,"29
1",0,"63
1",1,"128
2",26,0,0,0,0,0,0,"472
5"
13,Kerala,458,43,"9,001","1,216",0,0,"9,459","1,259","Deaths
12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Madhya Pradesh,"8,165","2,376","1,580",383,695,145,"10,440","2,904","Bicycles 
 National Highways 
under State PWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14,0,39,53,49,3,"1
4",0,"62
13",,27,12,17,0,0,0,15,"35
1",0,2,6,7,59,0,0,0,0,0,0,29
15,Maharashtra,"5,716","2,710","1,217",536,"1,427",553,"8,360","3,799","Total 
Accidents 
11",,,,,,,NR,,198,,,,,,,,,,163,,215,,,,,,,,"1,024"
16,Manipur,0,0,378,99,17,12,395,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Meghalaya,156,38,121,30,48,21,325,89,"Accidents & Persons Killed in Road Accidents in terms of Road User categories on National Highways under different categories
Deaths
32",0,48,160,21,0,"15
20","NR
0","45
7",2,23,27,0,0,0,0,44,"90
1",0,"101
1",0,"343
5",48,0,0,0,0,8,0,"1,050
9"
18,Mizoram,9,5,12,14,0,0,21,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nagaland,56,4,139,13,40,1,235,18,"National Highways 
under NHAI 
78",0,97,177,48,0,"18
20","NR
0","64
14",11,127,44,0,0,0,0,85,"93
2",0,"564
1",0,"21
766",87,1,0,0,0,21,0,40
,,,,,,,,,,Accidents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,379"
20,Orissa,"3,231","1,622",917,378,0,0,"4,148","2,000","Total 
9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Punjab,"1,004",865,893,530,526,298,"2,423","1,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Rajasthan,"2,814","1,368","1,563","1,132","2,506","1,370","6,883","3,870","Deaths
8",0,0,1,0,0,"140
0","NR
0","42
11",0,12,116,1,2,0,0,0,"25
10",0,"68
0",0,"37
2",0,0,4,0,0,0,0,"479
0"
,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sikkim,14,8,35,17,10,4,59,29,"National Highways 
under Other 
department",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tamil Nadu,"11,301","2,065","4,386","1,371","1,946",520,"17,633","3,956",18,0,0,3,0,0,"272
1","NR
0","39
35",0,48,188,1,4,0,0,0,"25
13",0,"489
0",0,"10
84",0,0,8,0,0,0,0,"1,238
0"
,,,,,,,,,,"Total 
Accidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Telangana,"4,770","1,693","2,039",732,543,66,"7,352","2,491",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tripura,0,0,248,106,0,0,248,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,0,,,,,,4,3,0,,6,0,,,,,0,0,0,0,0,0,6
27,Uttarakhand,392,268,246,136,24,24,662,428,"Deaths
147
6",,56,167,61,14,"23
100",NR,"102
129",385,13,97,21,,,,32,19,,"252
51",10,"22
77",515,,,,,,,"2,313"
28,Uttar Pradesh,"12,851","6,918","2,263","1,288","1,067",624,"16,181","8,830","Pedestrians 
 National Highways 
under State PWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,West Bengal,"1,900","1,103","1,595",883,42,16,"3,537","2,002",321,1,102,193,127,30,"27
261","NR
0","101
395","2,330",107,196,78,7,3,0,61,"19
9",0,"1,017
82",18,"61
136",731,0,0,0,0,0,0,"63
6,476"
,,,,,,,,,,"Total 
Accidents 
5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A & N Islands,71,7,0,0,0,0,71,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chandigarh,0,0,0,0,36,13,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,458,2,208,461,86,0,"329
213","NR
8","132
458",10,318,498,0,8,1,1,136,"98
8",1,"351
143",0,"69
392",446,2,0,0,0,106,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,957"
32,D & N Haveli,0,0,0,0,0,0,0,0,"Deaths
4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Daman & Diu,0,0,0,0,0,0,0,0,"National Highways 
under NHAI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Delhi,857,278,0,0,0,0,857,278,"Accidents 
899",2,454,533,167,0,"466
327","NR
60","131
1,245",91,"1,163",738,0,7,2,1,210,"163
11",1,"2,462
210",0,"102
720",626,17,0,0,0,298,0,"86
11,192"
,,,,,,,,,,"Total 
3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Lakshadweep,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Puducherry,368,60,285,22,0,0,653,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,"87,966","35,605","38,352","13,495","10,873","4,772","1,37,191","53,872",States/UTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
